method,wall_clock_h,gpu_h,cpu_h,peak_ram_gb,wall_clock_min
DUO,0.5464119459988334,0.06141664784434583,0.03341870851178137,1.5468170166015625,32.78471675993
Hybrid,0.67443957893075,0.1244249417290211,0.04027905130669199,1.7876510620117188,40.466374735845
Random,0.5464325687736944,0.06076247842122166,0.032591505501697926,1.5319374084472657,32.785954126421665
VARIQuery,0.6822442802220555,0.10861215067622557,0.044685710013436034,1.9044578552246094,40.93465681332333
