method,wall_clock_h,gpu_h,cpu_h,peak_ram_gb,wall_clock_min
DUO,0.7072439754578056,0.20850428583973027,0.04414684825150475,1.7429798126220704,42.43463852746834
Hybrid,1.5276566752198333,0.4463591470377506,0.09365444335514894,1.9928966522216798,91.65940051319
Random,0.6464139465296111,0.12607888434327635,0.040018260561812,1.6091552734375,38.78483679177667
VARIQuery,1.5122408941302221,0.5557537071382147,0.09762017244204262,2.0543895721435548,90.73445364781333
