method,wall_clock_h,gpu_h,cpu_h,peak_ram_gb,wall_clock_min
DUO,0.52182249668175,0.060558422029240555,0.032559449845796104,1.5405345916748048,31.309349800904997
Hybrid,0.6089129472904722,0.11039958987446472,0.03720191298159747,1.7803340911865235,36.53477683742833
Random,0.5168534532203056,0.06001674376588195,0.031422398819133404,1.517068862915039,31.011207193218336
VARIQuery,0.58434508624575,0.07902887713861223,0.038750228680134315,1.911417007446289,35.060705174744996
